baseline_id,target,n_train_previous,n_train_v2,n_features_previous,n_features_v2,test_MAE_previous,test_MAE_v2,delta_test_MAE,test_R2_previous,test_R2_v2,delta_test_R2,test_Spearman_rho_previous,test_Spearman_rho_v2,delta_test_Spearman_rho,run_dir
C1-Armenta-ProjectInputProxy,meanScore,9205,12729,1559,1559,8.7567,9.2523,0.4955999999999996,-0.0678,-0.1983,-0.1305,0.4591,0.4307,-0.02839999999999998,.exp/baseline/results/v2_01_2
C1-Armenta-ProjectInputProxy,popularity,9205,12729,1559,1559,11951.3799,11672.2261,-279.15380000000005,0.3819,0.3794,-0.0025000000000000022,0.8366,0.8287,-0.007900000000000018,.exp/baseline/results/v2_01_2
C1-Armenta-ProjectInputReconstruction,meanScore,9583,13321,5017,5017,9.025,10.5367,1.5116999999999994,-0.1096,-0.4982,-0.38859999999999995,0.4666,0.4447,-0.02190000000000003,.exp/baseline/results/v2_01_12
C1-Armenta-ProjectInputReconstruction,popularity,9583,13321,5017,5017,10719.7513,10501.5398,-218.21149999999943,0.2898,0.3963,0.10649999999999998,0.8192,0.8149,-0.0043000000000000815,.exp/baseline/results/v2_01_12
C2-CTNN-Lite,meanScore,9205,12729,1408,1408,9.5102,9.5143,0.004100000000001103,-0.2602,-0.2506,0.009599999999999997,0.3107,0.303,-0.007699999999999985,.exp/baseline/results/v2_01_5
C2-CTNN-Lite,popularity,9205,12729,1408,1408,13764.4086,14129.7782,365.3696,0.1716,0.1798,0.008199999999999985,0.741,0.7301,-0.01090000000000002,.exp/baseline/results/v2_01_5
C2-ProjectInputCTNNReconstruction,meanScore,9583,13321,5017,5017,8.1751,8.3066,0.13149999999999906,0.0696,0.0541,-0.015499999999999993,0.5247,0.5269,0.0021999999999999797,.exp/baseline/results/v2_01_13
C2-ProjectInputCTNNReconstruction,popularity,9583,13321,5017,5017,10151.2161,10448.2886,297.0725000000002,0.4608,0.4189,-0.04189999999999999,0.8471,0.8481,0.0010000000000000009,.exp/baseline/results/v2_01_13
C2-ProjectInputCrossAttention,meanScore,9205,12729,1559,1559,8.06,8.4384,0.3783999999999992,0.0597,0.0087,-0.051000000000000004,0.4663,0.4837,0.017400000000000027,.exp/baseline/results/v2_01_3
C2-ProjectInputCrossAttention,popularity,9205,12729,1559,1559,12755.1921,11044.714,-1710.4781000000003,0.3704,0.4165,0.046099999999999974,0.8379,0.8473,0.009400000000000075,.exp/baseline/results/v2_01_3
C2-ProjectInputRecurrentFusion,meanScore,9205,12729,1559,1559,8.0768,8.9897,0.9128999999999987,0.067,-0.1324,-0.1994,0.4723,0.4373,-0.034999999999999976,.exp/baseline/results/v2_01_4
C2-ProjectInputRecurrentFusion,popularity,9205,12729,1559,1559,12493.3574,11302.3265,-1191.0309000000016,0.3545,0.409,0.05449999999999999,0.8498,0.8479,-0.0019000000000000128,.exp/baseline/results/v2_01_4
C3-ProjectInputSKAPPGraphProxy,meanScore,9205,12729,15695,15695,8.1448,8.5741,0.42929999999999957,0.069,-0.0355,-0.10450000000000001,0.4973,0.4719,-0.025400000000000034,.exp/baseline/results/v2_01_14
C3-ProjectInputSKAPPGraphProxy,popularity,9205,12729,15695,15695,11501.8681,11512.0077,10.139600000000428,0.4404,0.4046,-0.0358,0.8561,0.8563,0.00019999999999997797,.exp/baseline/results/v2_01_14
C3-ProjectInputSKAPPProxy-XGB,meanScore,9205,12729,1652,1652,8.1715,8.263,0.09149999999999991,0.0744,0.0472,-0.027199999999999995,0.5369,0.5217,-0.015199999999999991,.exp/baseline/results/v2_01_11
C3-ProjectInputSKAPPProxy-XGB,popularity,9205,12729,1652,1652,10239.2909,10121.7524,-117.53850000000057,0.517,0.5174,0.00039999999999995595,0.8574,0.8563,-0.001100000000000101,.exp/baseline/results/v2_01_11
C3-RAG-Dense-XGB,meanScore,9205,12729,1643,1643,8.2445,8.4275,0.18299999999999983,0.0464,0.0034,-0.043,0.5382,0.5172,-0.02100000000000002,.exp/baseline/results/v2_01_8
C3-RAG-Dense-XGB,popularity,9205,12729,1643,1643,9704.8621,10068.9599,364.09779999999955,0.5084,0.4742,-0.03419999999999995,0.8584,0.8517,-0.006700000000000039,.exp/baseline/results/v2_01_8
C3-RAG-Hybrid-XGB,meanScore,9205,12729,1643,1643,8.3798,8.4433,0.06350000000000122,0.0307,0.01,-0.020700000000000003,0.5539,0.5367,-0.017199999999999993,.exp/baseline/results/v2_01_9
C3-RAG-Hybrid-XGB,popularity,9205,12729,1643,1643,10327.0456,10298.5317,-28.51389999999992,0.4828,0.464,-0.018799999999999983,0.8537,0.8487,-0.0050000000000000044,.exp/baseline/results/v2_01_9
C3-RAG-None-XGB,meanScore,9205,12729,1567,1567,8.3647,8.4819,0.11720000000000041,0.0132,-0.0047,-0.0179,0.5307,0.5175,-0.01319999999999999,.exp/baseline/results/v2_01_6
C3-RAG-None-XGB,popularity,9205,12729,1567,1567,9664.2004,9584.3608,-79.83959999999934,0.5064,0.5224,0.016000000000000014,0.8583,0.8584,0.00010000000000010001,.exp/baseline/results/v2_01_6
C3-RAG-Selective-XGB,meanScore,9205,12729,1643,1643,8.0914,8.309,0.21759999999999913,0.0905,0.0418,-0.0487,0.547,0.5234,-0.023600000000000065,.exp/baseline/results/v2_01_10
C3-RAG-Selective-XGB,popularity,9205,12729,1643,1643,9782.2338,9520.2222,-262.0115999999998,0.5775,0.5901,0.012599999999999945,0.8746,0.8719,-0.0027000000000000357,.exp/baseline/results/v2_01_10
C3-RAG-Sparse-XGB,meanScore,9205,12729,1643,1643,8.1703,8.3676,0.19730000000000025,0.073,0.0317,-0.041299999999999996,0.5384,0.5193,-0.019100000000000006,.exp/baseline/results/v2_01_7
C3-RAG-Sparse-XGB,popularity,9205,12729,1643,1643,9736.1037,9564.7193,-171.384399999999,0.5725,0.584,0.011499999999999955,0.8722,0.8699,-0.0022999999999999687,.exp/baseline/results/v2_01_7
F0-Mean,meanScore,9583,13321,0,0,10.4094,10.9115,0.5021000000000004,-0.3536,-0.4631,-0.10949999999999999,0.0,0.0,0.0,.exp/baseline/results/v2_01
F0-Mean,popularity,9583,13321,0,0,15034.397,14935.0718,-99.32520000000113,-0.1368,-0.1479,-0.011099999999999999,0.0,0.0,0.0,.exp/baseline/results/v2_01
F0-Ridge-Meta,meanScore,9583,13321,151,151,8.5854,9.2029,0.6174999999999997,0.0075,-0.1266,-0.1341,0.5084,0.4913,-0.01709999999999995,.exp/baseline/results/v2_01
F0-Ridge-Meta,popularity,9583,13321,151,151,15222.9838,12802.2336,-2420.7502000000004,-2.2072,-0.402,1.8051999999999997,0.7995,0.8007,0.0011999999999999789,.exp/baseline/results/v2_01
F1-GB-Meta,meanScore,9583,13321,151,151,8.7243,8.8758,0.1515000000000004,-0.0269,-0.0518,-0.0249,0.538,0.5265,-0.011500000000000066,.exp/baseline/results/v2_01
F1-GB-Meta,popularity,9583,13321,151,151,8917.8924,9006.6811,88.78869999999915,0.4951,0.5004,0.005299999999999971,0.8367,0.8303,-0.006399999999999961,.exp/baseline/results/v2_01
F1-RF-Meta,meanScore,9583,13321,151,151,7.9541,8.0179,0.06379999999999875,0.1298,0.1111,-0.018699999999999994,0.5836,0.5759,-0.00770000000000004,.exp/baseline/results/v2_01
F1-RF-Meta,popularity,9583,13321,151,151,8590.0532,8551.7168,-38.33640000000014,0.5811,0.5865,0.005400000000000071,0.8466,0.842,-0.0046000000000000485,.exp/baseline/results/v2_01
F2-XGB-Concat,meanScore,9205,12729,1559,1559,8.3391,8.5473,0.20819999999999972,0.0193,-0.0231,-0.0424,0.5292,0.5102,-0.019000000000000017,.exp/baseline/results/v2_01
F2-XGB-Concat,popularity,9205,12729,1559,1559,9588.259,9688.3006,100.04160000000047,0.5194,0.5108,-0.008599999999999941,0.8575,0.8579,0.00039999999999995595,.exp/baseline/results/v2_01
I1-XGB-ImageEmb,meanScore,9583,13321,1024,1024,9.4042,9.4161,0.011900000000000688,-0.1559,-0.1603,-0.004399999999999987,0.2918,0.2826,-0.009199999999999986,.exp/baseline/results/v2_01
I1-XGB-ImageEmb,popularity,9583,13321,1024,1024,13815.0865,13928.1819,113.09540000000015,0.0158,-0.0039,-0.019700000000000002,0.6046,0.582,-0.022600000000000064,.exp/baseline/results/v2_01
T2-XGB-TextEmb,meanScore,9205,12729,384,384,10.3206,10.6671,0.3464999999999989,-0.3846,-0.4773,-0.0927,0.2427,0.2262,-0.016499999999999987,.exp/baseline/results/v2_01
T2-XGB-TextEmb,popularity,9205,12729,384,384,14908.8897,15203.9965,295.10679999999957,-0.0152,-0.0621,-0.046900000000000004,0.6488,0.6433,-0.00550000000000006,.exp/baseline/results/v2_01
